y,ds,unique_id,index,PatchTST,PatchTST-median,PatchTST-lo-100,PatchTST-lo-90,PatchTST-hi-90,PatchTST-hi-100
71.0,2025-06-09 05:30:00,series_1,6,53.34153,53.659847,-123.02103,34.581802,70.472084,160.19705
89.0,2025-06-09 05:55:00,series_1,11,55.15423,54.915115,-32.75485,30.647312,79.058044,142.20738
129.0,2025-06-09 06:20:00,series_1,4,89.707306,91.4444,-184.60355,53.099854,124.56116,293.13086
146.0,2025-06-09 06:30:00,series_1,6,88.86142,88.883606,-70.89462,51.32765,129.41875,234.80821
249.0,2025-06-09 06:35:00,series_1,7,90.770195,90.929504,-195.93051,45.47772,137.21751,220.62009
158.0,2025-06-09 06:40:00,series_1,8,90.11838,89.410904,-97.19508,43.06775,139.5564,351.11517
159.0,2025-06-09 06:45:00,series_1,9,90.42988,89.66926,-492.96786,41.979626,138.76038,483.11795
181.0,2025-06-09 06:50:00,series_1,10,88.45576,87.95416,-65.78845,36.363415,134.9682,297.59723
182.0,2025-06-09 06:55:00,series_1,11,92.58135,92.14601,-127.17311,37.54747,147.96722,473.93338
400.0,2025-06-09 08:20:00,series_1,4,195.33835,199.27182,-313.1668,79.985855,299.95526,877.716
331.0,2025-06-09 08:25:00,series_1,5,180.16246,182.36496,-359.84482,36.224953,314.39856,642.3286
261.0,2025-06-09 13:00:00,series_1,0,291.4686,291.13654,219.51682,266.57468,313.14087,389.41458
235.0,2025-06-09 13:15:00,series_1,3,288.1876,288.57025,160.6777,261.2875,316.39618,392.2939
231.0,2025-06-09 13:20:00,series_1,4,285.82132,286.33582,175.66425,261.14755,311.01126,438.47986
245.0,2025-06-09 13:25:00,series_1,5,286.71835,286.66052,180.46689,259.26926,310.79953,426.58075
255.0,2025-06-09 13:30:00,series_1,6,290.33868,290.21402,92.660995,263.8946,316.89148,551.05176
258.0,2025-06-09 13:55:00,series_1,11,286.70187,285.8758,134.35152,260.71365,316.0181,437.38
240.0,2025-06-09 14:25:00,series_1,5,258.1503,258.281,77.98834,245.34668,271.31857,307.55515
238.0,2025-06-09 14:30:00,series_1,6,257.41913,257.95236,-43.522705,238.67491,277.4068,319.9481
233.0,2025-06-09 14:35:00,series_1,7,252.27734,252.11203,175.60303,233.4336,271.8653,323.64044
239.0,2025-06-09 14:50:00,series_1,10,258.1079,258.0987,142.45209,241.18233,274.6688,353.4286
256.0,2025-06-09 15:00:00,series_1,0,233.17859,233.1452,199.10472,220.4578,245.0436,268.2727
260.0,2025-06-09 15:15:00,series_1,3,233.11414,233.27434,201.07178,221.0884,244.39842,268.53796
244.0,2025-06-09 15:25:00,series_1,5,230.4084,230.34058,182.24892,216.7614,242.96458,283.05948
248.0,2025-06-09 15:30:00,series_1,6,231.88222,231.96097,150.1395,219.73914,243.37685,358.3629
219.0,2025-06-09 15:40:00,series_1,8,232.85727,232.9078,183.69893,222.72615,244.11134,258.62582
222.0,2025-06-09 15:45:00,series_1,9,232.8241,232.60776,198.33624,222.18497,244.02766,264.04608
246.0,2025-06-09 15:50:00,series_1,10,231.10052,231.07608,162.49742,221.1122,242.10327,264.48154
252.0,2025-06-09 15:55:00,series_1,11,231.38185,231.52821,188.17535,220.48732,242.48372,273.2976
284.0,2025-06-09 16:05:00,series_1,1,242.56886,242.11093,158.64847,219.32071,265.81888,322.27826
279.0,2025-06-09 16:35:00,series_1,7,243.0736,243.05978,103.67929,219.08125,266.19763,309.67712
274.0,2025-06-09 17:55:00,series_1,11,247.91379,247.83757,172.14087,230.58235,266.01935,322.32526
322.0,2025-06-09 18:40:00,series_1,8,270.81052,270.68793,109.173965,239.86063,302.20203,360.96024
305.0,2025-06-09 18:50:00,series_1,10,268.27054,268.40546,58.185394,234.5107,301.51965,489.571
312.0,2025-06-09 18:55:00,series_1,11,270.2547,269.88672,182.64545,233.5864,308.7102,530.6157
370.0,2025-06-09 19:30:00,series_1,6,303.82953,303.9315,-39.259766,244.26524,368.42978,494.31085
379.0,2025-06-09 19:50:00,series_1,10,301.06857,299.65918,-64.09439,229.98074,370.8799,753.4495
200.0,2025-06-09 22:30:00,series_1,6,273.8587,273.82324,-219.4754,205.40584,344.3629,994.6323
174.0,2025-06-09 22:40:00,series_1,8,279.8546,277.66202,41.01552,197.4384,363.59393,1633.0427
159.0,2025-06-09 22:45:00,series_1,9,261.09726,258.16724,-17.719452,175.48795,344.90405,1040.938
164.0,2025-06-09 22:50:00,series_1,10,259.11118,258.98328,-320.41977,173.2928,346.43307,561.60706
165.0,2025-06-09 22:55:00,series_1,11,261.71936,260.77505,-431.54083,177.69937,360.72046,746.333
94.0,2025-06-10 05:50:00,series_1,10,50.709343,50.996803,-245.51233,14.313055,90.01203,194.1777
115.0,2025-06-10 05:55:00,series_1,11,49.831776,49.808388,-491.7298,5.3706946,100.37772,205.60806
184.0,2025-06-10 06:50:00,series_1,10,105.45436,104.71929,-709.30853,24.442234,183.13715,524.69946
232.0,2025-06-10 07:00:00,series_1,0,146.01259,145.50833,-140.68436,86.48402,209.62407,312.20502
242.0,2025-06-10 11:00:00,series_1,0,271.8526,271.73947,138.57729,247.51823,293.5755,346.47437
226.0,2025-06-10 13:00:00,series_1,0,261.24698,261.2948,210.67026,243.4791,276.7735,321.20367
207.0,2025-06-10 13:05:00,series_1,1,262.73038,262.54343,169.27444,245.06451,280.71786,366.63443
207.0,2025-06-10 13:10:00,series_1,2,260.80905,260.68353,191.67908,240.31255,280.80566,354.9784
228.0,2025-06-10 13:15:00,series_1,3,259.99915,260.21375,199.79172,243.11476,277.726,311.5544
232.0,2025-06-10 13:20:00,series_1,4,261.24503,261.90985,149.08594,244.58669,277.13406,317.693
298.0,2025-06-10 13:40:00,series_1,8,256.7094,256.63367,202.07431,239.70802,275.16824,374.8888
240.0,2025-06-10 13:55:00,series_1,11,260.39578,260.2078,188.96031,240.32637,282.33524,379.07883
228.0,2025-06-10 14:10:00,series_1,2,249.23062,248.9633,180.03453,235.21342,263.39932,331.82202
227.0,2025-06-10 14:15:00,series_1,3,245.35947,245.42691,197.29886,231.33516,258.8832,299.60464
263.0,2025-06-10 14:35:00,series_1,7,248.08725,247.8194,180.51848,234.98021,261.83832,303.03314
278.0,2025-06-10 14:40:00,series_1,8,247.0952,247.16867,188.81602,229.59332,266.02103,314.8149
266.0,2025-06-10 14:45:00,series_1,9,247.29782,247.11008,174.26544,229.55708,264.8421,333.7468
275.0,2025-06-10 14:55:00,series_1,11,246.98334,246.74243,171.50427,231.58006,262.53204,344.86682
301.0,2025-06-10 15:25:00,series_1,5,265.3837,265.49402,177.40323,240.69977,288.51257,529.9897
248.0,2025-06-10 16:15:00,series_1,3,286.08575,286.30524,182.41586,257.6254,316.25204,398.87967
246.0,2025-06-10 16:20:00,series_1,4,287.08597,288.06982,119.88736,263.91895,312.06442,360.6579
239.0,2025-06-10 16:55:00,series_1,11,289.21088,288.97122,184.2312,259.9088,320.42926,445.92923
268.0,2025-06-10 18:05:00,series_1,1,234.6104,234.46591,178.22263,218.40654,250.7576,300.425
288.0,2025-06-10 18:10:00,series_1,2,237.65306,237.76117,140.99825,215.18733,259.74628,305.67245
280.0,2025-06-10 18:30:00,series_1,6,232.66882,232.99309,-113.53195,213.12047,253.43445,356.93463
286.0,2025-06-10 18:35:00,series_1,7,235.43062,235.07921,171.41154,215.72252,256.41522,314.23535
264.0,2025-06-10 18:40:00,series_1,8,232.75081,232.74754,139.24393,210.7178,258.39264,352.94318
273.0,2025-06-10 18:45:00,series_1,9,232.85977,232.27902,134.04216,208.79094,257.55466,383.3344
273.0,2025-06-10 18:50:00,series_1,10,228.28659,228.20679,69.32628,205.5892,251.35236,359.9127
313.0,2025-06-10 18:55:00,series_1,11,230.03497,229.72635,124.01177,204.35873,255.54239,342.6875
347.0,2025-06-10 19:15:00,series_1,3,298.1633,298.57944,186.2962,261.15857,333.7647,445.0291
353.0,2025-06-10 19:20:00,series_1,4,300.28894,301.2798,155.0089,267.92456,331.0249,414.98315
351.0,2025-06-10 19:25:00,series_1,5,299.93552,300.23904,93.606445,259.99512,339.60837,505.90454
342.0,2025-06-10 19:40:00,series_1,8,294.67157,295.07294,-52.92395,254.80365,337.9482,452.96487
364.0,2025-06-10 19:45:00,series_1,9,296.2923,296.15375,169.77435,255.75043,337.8906,476.63574
361.0,2025-06-10 19:50:00,series_1,10,296.76453,296.7043,19.635223,252.44989,342.44424,443.81232
382.0,2025-06-10 19:55:00,series_1,11,297.40875,297.2539,150.6214,249.19894,343.72763,428.48413
187.0,2025-06-10 22:35:00,series_1,7,265.58972,265.80432,33.827087,187.47179,340.10333,547.67725
196.0,2025-06-10 22:40:00,series_1,8,274.1308,274.11328,-22.062286,197.19531,347.20026,1002.45087
169.0,2025-06-10 22:50:00,series_1,10,256.1914,254.86588,-262.79633,175.77315,341.52634,1494.9071
165.0,2025-06-10 22:55:00,series_1,11,258.29938,258.0744,-114.9516,182.80482,342.3477,545.6918
198.0,2025-06-10 23:25:00,series_1,5,109.09612,109.441315,-138.76314,53.578953,159.31403,317.1374
183.0,2025-06-10 23:30:00,series_1,6,117.05427,118.41214,-226.48817,66.69626,170.7054,262.24667
182.0,2025-06-10 23:35:00,series_1,7,115.90831,116.052246,-167.97755,62.48304,168.09392,312.93015
71.0,2025-06-11 05:20:00,series_1,4,39.65201,41.055286,-252.26225,11.4377165,66.03167,152.40656
85.0,2025-06-11 05:25:00,series_1,5,42.848423,42.697304,-113.010345,11.494266,74.44455,506.48236
92.0,2025-06-11 05:30:00,series_1,6,45.574123,46.284714,-257.86694,17.443247,74.05981,226.8966
123.0,2025-06-11 05:35:00,series_1,7,48.990112,48.364105,-117.30803,15.312973,84.33321,295.00162
108.0,2025-06-11 05:40:00,series_1,8,49.35414,49.888523,-259.17258,6.0808334,91.267746,238.73607
105.0,2025-06-11 05:45:00,series_1,9,42.189587,41.027824,-210.76657,-0.66124797,87.84393,355.81232
127.0,2025-06-11 05:50:00,series_1,10,45.23174,44.928925,-289.78293,1.7770699,90.2894,212.7096
122.0,2025-06-11 05:55:00,series_1,11,43.058945,42.843815,-207.63356,-12.347755,92.63529,273.09354
277.0,2025-06-11 14:00:00,series_1,0,232.4176,231.94502,118.97874,202.91621,261.04013,508.63153
287.0,2025-06-11 14:05:00,series_1,1,228.22382,227.72491,98.85962,195.7698,260.20325,367.79166
314.0,2025-06-11 14:10:00,series_1,2,228.1905,228.19257,81.33589,189.93698,266.5867,401.68326
