y,ds,unique_id,index,NHITS,NHITS-median,NHITS-lo-90,NHITS-lo-80,NHITS-hi-80,NHITS-hi-90
172.0,2025-06-14 05:50:00,series_1,9,61.52313,60.03964,-36.060104,-14.0839405,138.67427,159.68144
172.0,2025-06-18 05:50:00,series_1,8,55.644447,56.139576,-33.97058,-15.39367,128.41994,147.15604
173.0,2025-06-25 05:55:00,series_1,9,62.597515,61.087887,-36.705315,-14.341888,141.10822,162.48555
174.0,2025-06-27 06:05:00,series_1,11,60.762688,60.11286,-47.77412,-23.541403,145.17029,169.88127
170.0,2025-07-03 05:55:00,series_1,8,65.996925,66.54266,-32.77895,-12.30302,146.21184,166.86322
234.0,2025-07-04 06:10:00,series_1,11,76.609505,75.81131,-56.708206,-26.942719,180.28886,210.64182
153.0,2025-07-05 05:55:00,series_1,8,58.968468,59.47135,-32.050285,-13.182385,132.88393,151.9135
152.0,2025-07-06 05:55:00,series_1,8,52.20371,52.645042,-27.676456,-11.117552,117.07361,133.7744
152.0,2025-07-06 06:00:00,series_1,9,58.707733,57.30585,-33.507206,-12.740008,131.6146,151.46611
170.0,2025-07-06 06:10:00,series_1,11,56.428066,55.822952,-44.641003,-22.075584,135.0281,158.03891
165.0,2025-07-07 05:55:00,series_1,8,55.768116,56.23828,-29.328335,-11.688108,124.87413,142.6655
197.0,2025-07-07 06:00:00,series_1,9,63.2974,61.781948,-36.38879,-13.93903,142.1112,163.57108
166.0,2025-07-08 05:55:00,series_1,8,62.013626,62.53029,-31.498547,-12.113763,137.95396,157.50484
198.0,2025-07-08 06:00:00,series_1,9,68.41305,66.807785,-37.18073,-13.400558,151.89749,174.62914
207.0,2025-07-08 06:10:00,series_1,11,66.36647,65.681564,-48.028473,-22.487822,155.32985,181.37459
152.0,2025-07-10 05:55:00,series_1,8,53.758377,54.2158,-29.032417,-11.870149,120.99198,138.3013
166.0,2025-07-10 06:00:00,series_1,9,61.190536,59.726128,-35.137676,-13.444144,137.34944,158.08643
196.0,2025-07-10 06:10:00,series_1,11,59.382515,58.7368,-48.467216,-24.3879,143.25578,167.81035
179.0,2025-07-17 05:55:00,series_1,8,69.12483,69.70537,-35.94915,-14.167646,154.45438,176.42253
165.0,2025-07-24 06:10:00,series_1,11,58.90397,58.282997,-44.813274,-21.656605,139.56345,163.17717
163.0,2025-08-04 05:55:00,series_1,8,54.086613,54.547516,-29.333673,-12.040912,121.83142,139.27235
185.0,2025-08-04 06:10:00,series_1,11,59.508038,58.86366,-48.119984,-24.090168,143.2089,167.71298
149.0,2025-08-05 05:55:00,series_1,8,57.50488,57.992306,-30.716124,-12.428185,129.14828,147.59293
137.0,2025-08-06 05:55:00,series_1,8,47.147564,47.5659,-28.569622,-12.873687,108.63675,124.46717
155.0,2025-08-07 05:55:00,series_1,8,52.86681,53.319828,-29.12752,-12.130357,119.4536,136.59642
161.0,2025-08-07 06:00:00,series_1,9,60.48917,59.063324,-33.30276,-12.180414,134.64285,154.83383
